"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"CP_Radial_D10.0mm_P5.00mm";2;"10uF/450V";;;
2;"C2,C12";"C_0805_2012Metric_Pad1.33x1.40mm_HandSolder";2;"10nF";;;
3;"C4";"C_0805_2012Metric_Pad1.33x1.40mm_HandSolder";1;"22K";;;
4;"C5,C8";"C_0805_2012Metric_Pad1.33x1.40mm_HandSolder";2;"1nF/1KV";;;
5;"C6";"CP_Radial_D5.0mm_P2.50mm";1;"4.7uF/50V";;;
6;"C9";"C_0805_2012Metric_Pad1.33x1.40mm_HandSolder";1;"10uF";;;
7;"C10,C11";"CP_Radial_D8.0mm_P3.80mm";2;"330uF";;;
8;"C13";"C_0805_2012Metric_Pad1.33x1.40mm_HandSolder";1;"22uF/6.3V";;;
9;"C14";"C_0805_2012Metric_Pad1.33x1.40mm_HandSolder";1;"0.1uF";;;
10;"D1";"Diode_Bridge_Diotec_ABS";1;"ABS8";;;
11;"D2,D3";"POWERDI-123";2;"DFLR1600-7";;;
12;"D4";"D_SOD-123F";1;"2SS100L-W";;;
13;"D5";"D_SOD-323";1;"D_Small_ALT";;;
14;"F1";"fuse_L7_W4_P5";1;"RST2";;;
15;"L1";"L_Radial_D7.5mm_P3.50mm_Fastron_07P";1;"1mH";;;
16;"L2";"Inductor_Taiyo-Yuden_MD-4040";1;"4.7uH";;;
17;"R1";"R_0805_2012Metric";1;"1.2R";;;
18;"R2";"R_0805_2012Metric";1;"1.8R";;;
19;"R3,R4";"R_0805_2012Metric";2;"2M";;;
20;"R5";"R_0805_2012Metric";1;"10pF/16V";;;
21;"R6";"R_0805_2012Metric";1;"150K";;;
22;"R7";"R_0805_2012Metric";1;"10R";;;
23;"R8";"R_0805_2012Metric";1;"47K";;;
24;"R9";"R_0805_2012Metric";1;"30E";;;
25;"R10";"R_0805_2012Metric";1;"4.7K";;;
26;"R11";"R_0805_2012Metric";1;"49.9K";;;
27;"R12";"R_0805_2012Metric";1;"16.2K";;;
28;"RV1";"RV_Disc_D7_W3.4_P5";1;"Varistor";;;
29;"T1";"EE19Horizondal";1;"EE19_8_Pin";;;
30;"TP1";"PAD";1;"L";;;
31;"TP2";"PAD";1;"N";;;
32;"U1";"DIP-7_AP3983";1;"AP3983";;;
33;"U2";"AP3211";1;"AP3211";;;
34;"J1";"6PIN_conn";1;"OUT";;;
35;"C7";"Y1Capacitor";1;"1nF/Y1";;;
36;"G***";"logo";1;"LOGO";;;
